Date,Daily Confirmed Cases
2022-02-27,16857.0
2022-02-28,14228.0
2022-03-01,13544.0
2022-03-02,0.0
2022-03-03,43239.0
2022-03-04,18162.0
2022-03-05,17564.0
2022-03-06,16274.0
2022-03-07,13158.0
2022-03-08,13520.0
2022-03-09,0.0
2022-03-10,39252.0
2022-03-11,16165.0
2022-03-12,15345.0
2022-03-13,0.0
2022-03-14,22333.0
2022-03-15,9042.0
2022-03-16,15851.0
2022-03-17,11278.0
2022-03-18,10713.0
2022-03-19,10594.0
2022-03-20,10244.0
2022-03-21,7859.0
2022-03-22,7538.0
2022-03-23,13166.0
2022-03-24,8940.0
2022-03-25,0.0
2022-03-26,16062.0
2022-03-27,6434.0
2022-03-28,0.0
2022-03-29,4848.0
2022-03-30,13089.0
2022-03-31,5729.0
2022-04-01,5605.0
2022-04-02,5010.0
2022-04-03,4563.0
2022-04-04,3743.0
2022-04-05,0.0
2022-04-06,9675.0
2022-04-07,4467.0
2022-04-08,4269.0
2022-04-09,4014.0
2022-04-10,3259.0
2022-04-11,5141.0
2022-04-12,0.0
2022-04-13,4552.0
2022-04-14,3535.0
2022-04-15,3521.0
2022-04-16,3404.0
2022-04-17,1670.0
2022-04-18,3049.0
2022-04-19,2480.0
2022-04-20,4718.0
2022-04-21,3472.0
2022-04-22,3420.0
2022-04-23,3025.0
2022-04-24,2709.0
2022-04-25,2044.0
2022-04-26,2058.0
2022-04-27,3688.0
2022-04-28,0.0
2022-04-29,5336.0
2022-04-30,0.0
2022-05-01,0.0
2022-05-02,0.0
2022-05-03,7726.0
2022-05-04,1570.0
2022-05-05,0.0
2022-05-06,6371.0
2022-05-07,3420.0
2022-05-08,3162.0
2022-05-09,2423.0
2022-05-10,2271.0
2022-05-11,4831.0
2022-05-12,3890.0
2022-05-13,3645.0
2022-05-14,4291.0
2022-05-15,3383.0
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,0.0
2022-05-21,0.0
2022-05-22,0.0
2022-05-23,0.0
2022-05-24,32153.0
2022-05-25,5727.0
2022-05-26,4167.0
2022-05-27,3936.0
2022-05-28,3830.0
2022-05-29,3323.0
2022-05-30,2551.0
2022-05-31,2389.0
2022-06-01,4985.0
2022-06-02,3577.0
2022-06-03,3745.0
2022-06-04,3233.0
2022-06-05,2879.0
2022-06-06,2256.0
2022-06-07,2162.0
2022-06-08,4477.0
2022-06-09,3602.0
2022-06-10,3431.0
2022-06-11,2969.0
2022-06-12,3128.0
2022-06-13,2503.0
2022-06-14,2389.0
2022-06-15,5130.0
2022-06-16,3906.0
2022-06-17,3120.0
2022-06-18,4979.0
2022-06-19,3782.0
2022-06-20,3199.0
2022-06-21,3220.0
2022-06-22,7109.0
2022-06-23,5862.0
2022-06-24,6606.0
2022-06-25,6516.0
2022-06-26,6168.0
2022-06-27,5116.0
2022-06-28,5309.0
2022-06-29,11504.0
2022-06-30,9392.0
2022-07-01,9505.0
2022-07-02,9087.0
2022-07-03,7952.0
2022-07-04,6127.0
2022-07-05,5946.0
2022-07-06,12784.0
2022-07-07,9989.0
2022-07-08,9985.0
2022-07-09,9284.0
2022-07-10,8659.0
2022-07-11,6423.0
2022-07-12,4495.0
2022-07-13,5979.0
2022-07-14,16870.0
2022-07-15,11772.0
2022-07-16,10526.0
2022-07-17,9153.0
2022-07-18,6947.0
2022-07-19,6227.0
2022-07-20,13794.0
2022-07-21,10293.0
2022-07-22,9749.0
2022-07-23,8983.0
2022-07-24,7889.0
2022-07-25,6175.0
2022-07-26,5551.0
2022-07-27,12419.0
2022-07-28,8763.0
2022-07-29,8565.0
2022-07-30,7938.0
2022-07-31,6558.0
2022-08-01,5106.0
2022-08-03,14939.0
2022-08-04,0.0
2022-08-05,13879.0
2022-08-06,6270.0
2022-08-07,5633.0
2022-08-08,4798.0
2022-08-09,3541.0
2022-08-10,7965.0
2022-08-11,2305.0
2022-08-12,0.0
2022-08-13,13257.0
2022-08-14,4403.0
2022-08-15,3023.0
2022-08-16,0.0
2022-08-17,7867.0
2022-08-18,3762.0
2022-08-19,3553.0
2022-08-20,3004.0
2022-08-21,2660.0
2022-08-22,1951.0
2022-08-23,1694.0
2022-08-24,3627.0
2022-08-25,2645.0
2022-08-26,2397.0
2022-08-27,2132.0
2022-08-28,1971.0
2022-08-29,1448.0
2022-08-30,1410.0
2022-08-31,2900.0
2022-09-01,2154.0
2022-09-02,2044.0
2022-09-03,1948.0
2022-09-04,1549.0
2022-09-05,1309.0
2022-09-06,1176.0
2022-09-07,2745.0
2022-09-08,2271.0
2022-09-09,2169.0
2022-09-10,2218.0
2022-09-11,1824.0
